EF203980  42
EF203981  42
EU347706  42
EU347707  91
EU347708  212
FJ229826  42
GQ999989  42
HQ625604  1233
JF705177  42
JF705178  91
JF705179  212
KC863461  660
KC863462  660
KC863463  660
KC863464  660
KF241776  0
KF996576  42
KF996577  42
KF996578  42
KF996579  42
KF996580  0
KF996581  0
KF996582  0
KF996583  0
KF996584  0
KF996585  0
KF996586  164
KF996587  164
KF996588  164
KF996589  164
KF996590  164
KF996591  164
KF996592  164
KF996593  164
KF996594  164
KF996595  164
KF996596  164
KF996597  164
KF996598  164
KF996599  164
KF996600  164
KF996601  164
KF996602  164
KF996603  164
KF996604  164
KF996605  212
KF996606  212
KF996607  212
KF996608  212
KF996609  212
KF996610  212
KF996611  212
KF996612  212
KF996613  212
KF996614  212
KF996615  212
KF996616  212
KF996617  240
KF996618  240
KF996619  240
KF996620  240
KF996621  240
KF996622  240
KF996623  240
KF996624  240
KF996625  240
KF996626  240
KF996627  240
KF996628  240
KF996629  240
KF996630  240
KF996631  240
KF996632  240
KF996633  240
KF996634  240
KF996635  240
KF996636  240
KF996637  240
KF996638  240
KF996639  240
KF996640  240
KF996641  240
KF996642  268
KF996643  268
KF996644  268
KF996645  268
KF996646  268
KF996647  268
KF996648  268
KF996649  268
KF996650  268
KF996651  268
KF996652  268
KF996653  268
KF996654  268
KF996655  338
KF996656  338
KF996657  338
KF996658  338
KF996659  338
KF996660  338
KF996661  338
KF996662  338
KF996663  338
KF996664  338
KF996665  338
KF996666  338
KF996667  338
KF996668  338
KF996669  338
KF996670  416
KF996671  416
KF996672  416
KF996673  416
KF996674  416
KF996675  416
KF996676  416
KF996677  416
KF996678  416
KF996679  416
KF996680  416
KF996681  416
KF996682  416
KF996683  416
KF996684  416
KF996685  660
KF996686  660
KF996687  660
KF996688  660
KF996689  660
KF996690  660
KF996691  660
KF996692  660
KF996693  660
KF996694  660
KF996695  660
KF996696  660
KF996697  660
KF996698  660
KF996699  660
KF996700  660
KF996701  1233
KF996702  1233
KF996703  1233
KF996704  1233
KF996705  1233
KF996706  1233
KF996707  1233
KF996708  1233
KF996709  1233
KF996710  1233
KF996711  1233
KF996712  1233
KF996713  1233
KF996714  1233
KF996715  1233
KF996716  1233
KT698223  240
KT698224  240
KT698225  240
KT698226  240
KT698227  240
KT882178  -1
KT882179  -1
KT882180  -1
KT882181  -1
KT882182  -1
KT882183  -1
KT882184  -1
KT882185  -1
KT882186  -1
KT882187  -1
KT882188  -1
KT882189  -1
KT882190  -1
KT882191  -1
KT882192  -1
KT882193  -1
KT882194  -1
KT882195  -1
KT882196  -1
MF572809  296
MF572810  296
MF572811  296
MF572812  296
MF572813  296
MF572814  296
MF572815  296
MF572816  296
MF572817  296
MF572818  296
MF572819  296
MF572820  296
MF572821  296
MF572822  296
MF572823  296
MF572824  296
MF572825  296
MF572826  296
MF572827  296
MF572828  296
MF572829  296
