trajectory,method,t0,T,ns,deltat,runtime,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49
0,CLEAR,10,310,100,10,146.680000,0.040000,0.040000,0.008000,0.040000,0.040000,0.040000,0.040000,0.040000,-0.038000,0.040000,0.040000,-0.026000,-0.038000,0.040000,-0.038000,0.040000,0.040000,-0.038000,-0.038000,-0.038000,-0.038000,0.040000,0.040000,-0.036000,-0.038000,-0.038000,-0.038000,-0.038000,-0.038000,-0.026000,0.000000,0.040000,0.040000,-0.038000,-0.026000,-0.038000,0.040000,0.040000,0.040000,0.040000,-0.038000,0.016000,-0.038000,-0.038000,-0.038000,-0.038000,0.014000,-0.038000,-0.038000,-0.038000
1,CLEAR,10,310,100,10,144.920000,-0.002000,0.034000,0.040000,0.040000,0.040000,0.022000,0.040000,0.040000,0.040000,0.040000,-0.030000,-0.016000,0.040000,-0.038000,0.040000,0.040000,0.040000,0.034000,-0.038000,-0.038000,0.000000,0.040000,-0.038000,0.000000,-0.024000,0.040000,-0.038000,-0.038000,0.040000,0.012000,0.040000,0.040000,0.036000,0.000000,-0.038000,-0.038000,0.000000,-0.038000,0.040000,-0.038000,0.040000,0.018000,0.008000,-0.038000,-0.038000,-0.038000,0.006000,-0.038000,-0.012000,-0.030000
2,CLEAR,10,310,100,10,147.040000,0.002500,-0.022500,0.050000,0.042500,0.050000,0.050000,0.000000,0.042500,0.050000,0.050000,-0.042500,0.050000,-0.047500,-0.047500,0.050000,-0.037500,0.050000,0.050000,0.025000,0.050000,-0.047500,0.050000,0.050000,-0.047500,0.050000,0.050000,-0.047500,0.045000,0.050000,-0.040000,0.050000,-0.047500,-0.047500,0.050000,0.050000,-0.047500,-0.035000,-0.047500,0.050000,-0.035000,0.022500,-0.047500,-0.042500,0.050000,-0.047500,-0.047500,-0.015000,-0.010000,-0.047500,-0.047500
3,CLEAR,10,310,100,10,149.730000,0.040000,0.040000,-0.032000,-0.026000,0.040000,0.040000,0.040000,0.040000,0.040000,0.040000,-0.038000,-0.038000,0.040000,-0.038000,-0.028000,0.040000,0.040000,-0.038000,-0.038000,-0.038000,0.012000,0.040000,0.040000,0.040000,0.040000,-0.038000,-0.038000,0.000000,0.040000,-0.038000,-0.038000,0.040000,-0.038000,-0.038000,-0.038000,0.040000,-0.030000,0.000000,0.040000,0.000000,-0.038000,-0.038000,-0.012000,-0.034000,-0.038000,-0.038000,0.040000,0.012000,-0.038000,-0.038000
4,CLEAR,10,310,100,10,148.690000,0.040000,-0.016000,0.036000,-0.014000,0.040000,0.040000,-0.010000,0.040000,0.040000,0.040000,0.010000,0.020000,-0.006000,-0.014000,-0.032000,-0.012000,0.024000,-0.006000,0.016000,0.016000,0.012000,0.018000,0.040000,-0.014000,-0.014000,0.016000,0.040000,-0.014000,0.040000,0.022000,0.008000,0.040000,-0.038000,-0.012000,0.010000,-0.038000,-0.012000,0.040000,0.040000,-0.038000,-0.018000,-0.038000,-0.038000,-0.012000,-0.038000,-0.038000,-0.038000,-0.026000,-0.010000,-0.014000
5,CLEAR,10,310,100,10,139.760000,0.047500,0.027500,0.047500,-0.017500,-0.015000,0.035000,-0.025000,0.000000,0.035000,0.050000,0.000000,-0.037500,-0.047500,-0.042500,0.045000,0.050000,-0.012500,-0.045000,0.037500,-0.027500,0.022500,-0.027500,-0.042500,0.027500,0.050000,-0.040000,-0.017500,-0.020000,-0.037500,0.050000,-0.030000,-0.030000,-0.047500,0.000000,0.032500,-0.047500,0.050000,-0.045000,-0.040000,-0.027500,-0.047500,-0.045000,-0.045000,-0.032500,0.005000,-0.012500,-0.025000,-0.030000,0.050000,-0.045000
6,CLEAR,10,310,100,10,148.850000,0.000000,0.000000,0.006000,-0.006000,0.040000,0.000000,0.000000,0.040000,0.004000,0.022000,-0.008000,-0.032000,0.040000,0.012000,0.000000,0.000000,0.006000,-0.002000,0.000000,-0.012000,0.010000,0.016000,-0.008000,0.014000,0.000000,0.016000,0.038000,-0.006000,0.000000,-0.006000,-0.006000,-0.014000,0.004000,-0.010000,-0.010000,0.012000,0.000000,-0.006000,0.000000,0.012000,-0.016000,-0.022000,0.010000,-0.020000,-0.022000,-0.038000,0.000000,-0.028000,-0.006000,-0.018000
7,CLEAR,10,310,100,10,129.710000,0.040000,0.040000,0.040000,0.040000,0.040000,0.040000,0.040000,0.040000,0.008000,0.040000,0.040000,-0.038000,0.000000,-0.008000,0.032000,-0.038000,0.040000,-0.034000,0.040000,0.040000,-0.016000,0.040000,0.012000,0.016000,0.040000,-0.038000,-0.038000,0.040000,0.040000,0.040000,-0.030000,-0.038000,-0.038000,-0.030000,-0.020000,-0.038000,-0.038000,0.040000,0.036000,0.040000,0.026000,-0.010000,-0.038000,-0.010000,-0.038000,-0.038000,-0.038000,0.008000,-0.038000,-0.008000
8,CLEAR,10,310,100,10,125.830000,0.050000,0.050000,0.045000,0.050000,0.050000,0.040000,0.050000,0.050000,0.050000,0.050000,0.050000,-0.047500,0.050000,0.050000,0.050000,0.050000,0.000000,0.050000,-0.007500,-0.047500,0.050000,-0.047500,-0.047500,-0.047500,0.007500,0.000000,-0.047500,-0.047500,-0.047500,-0.047500,-0.047500,-0.047500,0.005000,-0.047500,0.050000,0.030000,0.050000,-0.045000,0.050000,-0.015000,0.050000,0.010000,-0.047500,-0.042500,-0.047500,-0.047500,-0.047500,-0.047500,-0.042500,0.050000
9,CLEAR,10,310,100,10,150.660000,0.050000,0.022500,0.050000,0.050000,-0.025000,0.050000,0.050000,0.050000,-0.012500,0.050000,0.050000,-0.047500,-0.047500,0.037500,0.050000,-0.047500,0.050000,-0.047500,0.000000,0.050000,0.050000,-0.047500,0.050000,0.035000,0.050000,-0.047500,-0.047500,-0.030000,-0.047500,0.000000,0.050000,0.050000,0.050000,-0.047500,0.050000,-0.047500,-0.047500,0.045000,-0.047500,0.050000,-0.017500,-0.035000,-0.047500,-0.047500,-0.047500,-0.047500,-0.047500,-0.047500,-0.047500,-0.047500
10,CLEAR,10,310,100,10,146.810000,0.045000,0.050000,0.050000,0.050000,0.050000,0.050000,0.015000,0.050000,0.050000,0.045000,0.050000,0.050000,0.045000,0.000000,-0.032500,0.050000,-0.047500,-0.047500,-0.047500,0.017500,0.050000,0.045000,0.050000,-0.047500,0.050000,0.050000,-0.047500,-0.047500,-0.047500,0.005000,0.000000,0.050000,0.050000,0.050000,-0.047500,-0.035000,-0.047500,0.000000,0.015000,0.050000,-0.032500,-0.047500,0.017500,-0.047500,-0.015000,-0.007500,-0.047500,-0.035000,-0.047500,-0.047500
11,CLEAR,10,310,100,10,147.220000,0.040000,0.040000,0.040000,0.040000,-0.038000,0.040000,0.040000,0.040000,0.040000,0.040000,0.010000,0.040000,-0.038000,-0.038000,-0.038000,0.040000,0.024000,0.040000,0.040000,0.038000,0.002000,-0.038000,-0.038000,0.040000,-0.038000,-0.038000,-0.038000,-0.032000,-0.038000,-0.038000,0.000000,-0.038000,-0.038000,-0.038000,0.038000,-0.038000,0.040000,0.040000,-0.022000,0.040000,-0.038000,0.040000,-0.038000,-0.038000,-0.038000,-0.038000,-0.038000,-0.038000,0.040000,-0.038000
12,CLEAR,10,310,100,10,148.360000,0.040000,0.040000,0.036000,0.040000,0.040000,0.040000,0.040000,0.036000,0.040000,0.040000,0.012000,-0.038000,-0.026000,-0.038000,-0.030000,-0.030000,-0.038000,-0.036000,0.040000,0.036000,-0.036000,0.038000,0.026000,0.040000,0.040000,0.040000,-0.038000,-0.036000,-0.032000,-0.036000,-0.024000,-0.038000,-0.028000,0.000000,0.040000,0.040000,-0.032000,-0.032000,-0.038000,-0.038000,-0.014000,0.032000,-0.038000,0.004000,0.040000,-0.006000,0.000000,-0.014000,0.014000,-0.038000
13,CLEAR,10,310,100,10,147.220000,0.034000,0.040000,0.000000,0.040000,0.026000,0.040000,0.040000,-0.030000,0.040000,0.040000,-0.030000,0.040000,0.000000,-0.020000,0.040000,0.000000,-0.038000,0.034000,-0.032000,-0.038000,0.040000,-0.038000,0.040000,-0.018000,-0.018000,0.040000,-0.038000,0.040000,-0.038000,-0.038000,0.040000,-0.038000,-0.038000,-0.038000,0.040000,-0.038000,0.000000,0.038000,0.040000,-0.036000,-0.032000,0.036000,0.040000,-0.038000,-0.038000,-0.032000,-0.038000,-0.038000,-0.038000,-0.038000
14,CLEAR,10,310,100,10,148.890000,0.050000,0.050000,0.030000,0.015000,0.050000,-0.017500,0.050000,0.050000,0.050000,0.050000,0.050000,0.035000,-0.047500,-0.047500,-0.047500,0.050000,-0.045000,0.050000,0.000000,0.050000,0.050000,0.050000,0.050000,-0.047500,-0.047500,-0.047500,-0.047500,-0.047500,0.050000,0.050000,0.050000,0.000000,-0.047500,-0.047500,-0.047500,-0.045000,-0.047500,0.050000,-0.020000,-0.047500,-0.047500,-0.047500,0.000000,-0.040000,0.050000,-0.047500,0.022500,-0.047500,-0.047500,-0.047500
15,CLEAR,10,310,100,10,147.390000,0.040000,0.034000,0.040000,0.040000,-0.012000,0.040000,0.040000,0.008000,0.040000,0.040000,-0.034000,-0.038000,-0.038000,-0.038000,-0.026000,-0.038000,0.032000,0.040000,-0.038000,-0.036000,0.040000,0.040000,-0.038000,0.040000,-0.038000,0.040000,0.040000,0.040000,-0.038000,0.040000,0.040000,0.038000,0.040000,-0.038000,-0.038000,0.000000,0.000000,-0.038000,-0.038000,-0.038000,-0.038000,-0.038000,-0.038000,-0.038000,0.024000,-0.038000,-0.038000,-0.038000,-0.016000,-0.038000
16,CLEAR,10,310,100,10,148.830000,0.040000,-0.018000,0.040000,0.040000,-0.038000,0.040000,0.018000,0.040000,0.040000,0.040000,0.040000,0.000000,0.040000,-0.038000,-0.038000,-0.038000,-0.038000,-0.038000,-0.038000,0.040000,-0.038000,-0.038000,0.040000,0.040000,0.040000,-0.038000,0.000000,0.000000,0.000000,0.040000,-0.038000,0.040000,-0.032000,-0.038000,-0.026000,0.040000,0.040000,0.024000,-0.038000,-0.038000,0.040000,-0.038000,-0.038000,0.040000,-0.038000,-0.038000,-0.038000,-0.038000,-0.038000,-0.038000
17,CLEAR,10,310,100,10,145.220000,0.040000,0.040000,-0.038000,0.040000,0.040000,0.040000,0.040000,0.040000,0.040000,0.040000,-0.016000,0.040000,-0.038000,-0.018000,-0.038000,0.040000,0.040000,-0.038000,0.040000,0.040000,-0.022000,0.040000,-0.038000,-0.034000,-0.038000,0.040000,-0.038000,0.032000,0.000000,-0.038000,0.040000,-0.006000,0.040000,-0.038000,-0.038000,0.000000,-0.038000,-0.020000,0.040000,-0.038000,-0.038000,-0.026000,-0.038000,-0.038000,-0.038000,-0.038000,-0.038000,-0.038000,0.014000,-0.038000
18,CLEAR,10,310,100,10,128.410000,0.040000,0.040000,0.040000,-0.014000,0.040000,0.040000,0.040000,0.040000,0.000000,0.020000,-0.038000,-0.038000,-0.038000,0.040000,0.040000,-0.026000,-0.038000,-0.024000,0.040000,-0.038000,-0.038000,0.040000,-0.038000,0.040000,-0.038000,-0.038000,-0.036000,-0.038000,-0.038000,-0.038000,0.040000,-0.038000,0.040000,-0.038000,0.040000,-0.038000,0.040000,0.040000,0.040000,-0.038000,-0.038000,-0.028000,-0.038000,-0.038000,-0.026000,-0.038000,0.000000,-0.038000,0.040000,0.000000
