trajectory,method,t0,T,ns,deltat,runtime,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49
0,MPL,10,310,100,10,0.000885,0.003680,0.028795,0.021046,0.021036,0.030596,0.030401,0.067228,0.025935,0.016844,0.027207,0.005499,-0.006953,0.006108,0.011404,-0.009739,0.017930,0.013487,-0.004229,-0.013264,0.019568,0.018338,-0.001929,0.022596,0.025106,0.013313,0.023914,-0.022040,-0.007111,0.016634,-0.020276,0.001211,-0.017441,-0.000893,-0.018258,0.007753,-0.017373,-0.017057,0.000652,-0.006003,0.000860,-0.055750,-0.014346,-0.019921,-0.046564,-0.021208,-0.009965,-0.018462,-0.049902,-0.035341,-0.019321
0,SL,10,310,100,10,0.000633,0.004140,-0.014243,0.034683,0.051062,-0.005778,0.056962,0.091518,0.054673,0.050368,-0.024150,0.029332,-0.011992,0.024291,0.029153,-0.013031,0.036414,0.034963,-0.009681,-0.036029,0.031865,0.045483,-0.023420,0.039572,0.050342,0.032643,0.037078,-0.037061,-0.030907,0.030232,-0.018569,0.014462,-0.036411,-0.004521,-0.037563,0.009293,-0.031877,-0.039723,-0.007318,-0.033773,0.041070,-0.053573,-0.034331,-0.030162,-0.025010,-0.048428,-0.015674,-0.038761,0.002697,-0.034335,-0.030070
0,MPL_noMu,10,310,100,10,1.000000,-0.008950,0.028268,0.014197,0.022409,0.030732,0.031200,0.065223,0.026725,0.017769,0.025241,0.001814,0.001385,0.002787,0.009748,0.003213,0.015255,0.010529,-0.004789,-0.009006,0.020408,0.019635,0.000388,0.014869,0.025759,0.014352,0.016756,-0.015437,-0.004829,0.013158,-0.011405,-0.002305,-0.014990,0.002299,-0.015395,-0.006240,-0.013583,-0.011510,0.008101,-0.001722,0.001662,-0.053781,-0.011650,-0.016458,-0.045535,-0.022820,0.000684,-0.015467,-0.048729,-0.034702,-0.017019
0,SL_noMu,10,310,100,10,1.000000,-0.008347,-0.011325,0.025279,0.042630,-0.004183,0.048498,0.089732,0.046118,0.042500,-0.019083,0.020592,-0.003018,0.018311,0.022516,0.000000,0.027372,0.025483,-0.010792,-0.026255,0.032186,0.038760,-0.015679,0.028822,0.042478,0.026991,0.027015,-0.027003,-0.023256,0.022055,-0.009324,0.009734,-0.027369,-0.001171,-0.028231,-0.004653,-0.023247,-0.029844,0.000000,-0.026055,0.034687,-0.052645,-0.025815,-0.022004,-0.025214,-0.041609,-0.003929,-0.029126,0.002151,-0.034845,-0.022630
1,MPL,10,310,100,10,0.000940,0.016891,0.026917,0.036371,-0.017994,0.040469,0.027847,0.030322,0.022768,0.021367,0.075515,0.009398,-0.017775,-0.008369,0.012840,0.010238,-0.014407,0.005949,0.016061,0.025667,-0.012613,-0.027568,-0.014469,0.014291,0.014598,0.002182,0.019428,0.002678,0.012821,0.006838,-0.015639,-0.007005,0.010225,0.003231,0.003834,-0.008399,0.000051,-0.013601,-0.017249,0.002622,-0.015241,-0.068977,-0.044917,-0.050326,-0.036915,-0.019936,-0.020132,-0.029360,-0.016343,-0.016013,-0.070103
1,SL,10,310,100,10,0.000663,0.016319,0.057206,0.037088,-0.056109,0.015441,0.058752,0.060326,0.058308,0.044374,0.028948,0.013626,-0.039976,0.020806,0.043608,0.042491,-0.049690,0.007633,0.044273,0.054660,-0.023034,-0.058833,-0.000122,0.027371,0.055348,-0.022831,0.057009,-0.013537,0.038949,0.035540,-0.043546,-0.038951,-0.019702,-0.031983,0.034425,-0.042319,-0.026392,-0.036855,-0.018599,0.006547,-0.051834,-0.037374,-0.036343,-0.066133,0.024526,-0.046327,-0.045622,-0.043627,-0.017769,-0.019231,-0.001212
1,MPL_noMu,10,310,100,10,1.000000,0.005593,0.029636,0.034459,-0.020837,0.038708,0.030850,0.030477,0.024409,0.018420,0.074825,-0.004221,-0.012091,-0.012407,0.008513,0.007382,-0.016303,0.000608,0.013249,0.018118,-0.015080,-0.029036,-0.020409,0.013125,0.017161,0.001591,0.021078,0.002579,0.007369,0.003195,-0.012780,-0.004097,0.010893,0.005294,-0.003436,-0.009731,0.002519,-0.008332,-0.004470,0.012447,-0.016475,-0.067100,-0.045745,-0.051309,-0.037187,-0.016488,-0.016813,-0.024389,-0.004410,-0.005261,-0.070237
1,SL_noMu,10,310,100,10,1.000000,0.004089,0.053184,0.037331,-0.052064,0.016585,0.054616,0.055843,0.054096,0.040085,0.029000,0.000000,-0.031480,0.013945,0.039243,0.038243,-0.046221,0.001941,0.039994,0.043774,-0.024422,-0.054580,-0.006206,0.028202,0.051360,-0.020995,0.052783,-0.010969,0.030675,0.028519,-0.039339,-0.035072,-0.017680,-0.028831,0.024143,-0.039393,-0.021221,-0.029034,-0.004653,0.016181,-0.052135,-0.036933,-0.037202,-0.066754,0.022241,-0.041841,-0.041207,-0.034972,-0.004448,-0.007711,-0.001469
2,MPL,10,310,100,10,0.000693,0.019334,0.021564,0.016287,0.038781,0.084426,0.011706,0.013913,0.013454,0.013882,0.017322,0.032368,-0.000169,0.009830,-0.005400,-0.007258,0.001753,-0.003999,-0.014684,-0.017535,0.015539,0.018719,-0.003339,0.006166,0.015765,-0.025197,0.008542,-0.008786,-0.006811,-0.008378,-0.005444,-0.004680,0.022902,0.014506,-0.004810,0.006467,-0.009918,0.006369,0.000379,0.000555,0.014195,-0.026703,-0.013121,-0.010559,-0.011406,-0.055693,-0.010831,-0.021083,-0.011429,-0.035972,-0.021956
2,SL,10,310,100,10,0.000611,0.015816,0.052930,0.020029,0.010686,0.088350,0.013635,0.018506,0.011528,0.048853,-0.030706,0.020077,-0.043532,0.037333,-0.004705,-0.016973,0.012898,-0.011522,-0.050229,-0.046509,0.051087,0.027009,-0.007492,0.047234,0.016672,-0.055587,-0.004969,-0.038913,-0.043654,-0.013945,-0.036001,-0.042080,0.054893,0.051100,0.017128,0.044424,0.004378,0.012491,0.040423,-0.005498,0.013031,-0.052812,-0.014281,-0.011995,-0.051422,-0.024050,-0.050017,-0.024526,-0.021074,0.006903,-0.053073
