variant,tag,reference,max-dt-200,max-dt-400,max-gap-freq-80,max-gap-freq-99,max-gap-num-50,max-gap-num-500,min-seqs-2,min-seqs-6,no-ambiguous
706010164-5-850-C,706010164-5,0.0002,0.0013,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0007
706010164-5-867-A,706010164-5,-0.0034,,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0038
706010164-5-895-G,706010164-5,-0.0022,-0.0008,-0.0022,-0.0022,-0.0022,-0.0022,-0.0022,-0.0022,-0.0022,-0.0023
706010164-5-898--,706010164-5,0.0062,0.0061,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0065
706010164-5-917-A,706010164-5,-0.0001,0.002,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001
706010164-5-924-T,706010164-5,-0.0138,,-0.0138,-0.0138,-0.0138,-0.0138,-0.0138,-0.0138,-0.0138,-0.0138
706010164-5-957-T,706010164-5,-0.0002,,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002
706010164-5-983-T,706010164-5,-0.0037,,-0.0037,-0.0037,-0.0037,-0.0037,-0.0037,-0.0037,-0.0037,-0.0037
706010164-5-1011-C,706010164-5,0.0067,,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067
706010164-5-1012-C,706010164-5,0.002,0.0034,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
706010164-5-1014-G,706010164-5,-0.0075,,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0066
706010164-5-1066-T,706010164-5,0.0095,0.0117,0.0095,0.0095,0.0095,0.0095,0.0095,0.0095,0.0095,0.0107
706010164-5-1073-A,706010164-5,0.0044,,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0046
706010164-5-1084-A,706010164-5,-0.0035,-0.0013,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,-0.0036
706010164-5-1095-T,706010164-5,-0.0002,,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0001
706010164-5-1104-A,706010164-5,0.0067,,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.007
706010164-5-1126-A,706010164-5,-0.0,0.004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.002
706010164-5-1127-G,706010164-5,0.0616,0.0547,0.0616,0.0616,0.0616,0.0616,0.0616,0.0616,0.0616,0.0656
706010164-5-1130-G,706010164-5,0.0285,0.0319,0.0285,0.0285,0.0285,0.0285,0.0285,0.0285,0.0285,0.0313
